Standard,Reference,As-is code
Copy
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	24737.1	23783.1	23035.1	23231.9
2	28128.9	35173.3	39707.6	39791.0
3	34654.4	32398.6	56091.9	56907.3
4	37761.7	35262.0	65992.5	66555.7
Add
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	14759.2	14279.3	13739.6	13659.5
2	26417.3	24514.7	25693.8	25345.3
3	33030.3	31130.4	34619.7	33991.3
4	37077.0	35115.9	39527.4	39081.9
Scale
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	12490.2	14158.0	11970.7	13548.2
2	21612.5	22832.4	21525.1	24068.0
3	26850.4	27765.9	28174.4	30554.0
4	30172.0	30522.8	32542.5	34571.3
Triad
Threads	Rate (MB/s)	Avg time	Min time	Max time
1	15291.6	14509.5	13670.9	13527.8
2	26347.9	25102.1	24976.3	24729.6
3	32406.1	31057.9	32692.6	32398.3
4	36686.7	34959.8	37399.4	37220.0
